"Timestamp","Where do you prefer to study the most?","What motivates you most when choosing a study environment?","How important are noise levels in your study environment ?","How important is lighting in your study environment ?","How important is the availability of resources (books, internet, etc.) in your study environment ?","How important is comfort (furniture, temperature) in your study environment?","How do you feel about studying in an environment where others are working or studying as well?","Do you prefer studying alone or with others?","At what time of the day do you usually study?"
"2024/12/23 3:58:56 PM GMT+3","Cafe","Presence of other students for collaboration","3","3","5","4","Neutral","Alone","Evening"
"2024/12/23 3:59:37 PM GMT+3","Home","Availability of study resources (WiFi, computers)","5","3","3","5","Neutral","Alone","Evening"
"2024/12/23 4:00:50 PM GMT+3","Home","Comfort and convenience","3","3","5","5","Neutral","Alone","Afternoon"
"2024/12/23 4:01:08 PM GMT+3","Library","Comfort and convenience","5","3","5","5","Motivated","Alone","Afternoon"
"2024/12/23 4:01:30 PM GMT+3","Home","Comfort and convenience","5","3","4","4","Distracted","Alone","Evening"
"2024/12/23 4:06:05 PM GMT+3","Library","Availability of study resources (WiFi, computers)","5","4","5","5","Motivated","With friends","Evening"
"2024/12/23 4:10:05 PM GMT+3","Library","Minimal distractions","5","5","3","3","Neutral","Alone","Morning"
"2024/12/23 4:11:08 PM GMT+3","Home","Availability of study resources (WiFi, computers)","2","3","5","5","Distracted","Alone","Afternoon"
"2024/12/23 4:11:24 PM GMT+3","Cafe","Comfort and convenience","3","3","3","3","Neutral","Alone","Evening"
"2024/12/23 4:12:25 PM GMT+3","Home","Availability of study resources (WiFi, computers)","5","5","5","5","Neutral","Alone","Morning"
"2024/12/23 4:12:35 PM GMT+3","Home","Availability of study resources (WiFi, computers)","5","3","5","3","Distracted","Alone","Evening"
"2024/12/23 4:13:08 PM GMT+3","Library","Minimal distractions","4","5","5","4","Motivated","With friends","Afternoon"
"2024/12/23 4:13:48 PM GMT+3","Home","Minimal distractions","5","4","5","4","Neutral","Alone","Evening"
"2024/12/23 4:14:07 PM GMT+3","Home","Presence of other students for collaboration","3","3","4","5","Neutral","With friends","Evening"
"2024/12/23 4:14:36 PM GMT+3","Home","Availability of study resources (WiFi, computers)","5","3","3","4","Neutral","Alone","Evening"
"2024/12/23 4:14:46 PM GMT+3","Library","Minimal distractions","5","5","5","5","Motivated","Alone","Afternoon"
"2024/12/23 4:15:41 PM GMT+3","Home","Presence of other students for collaboration","5","5","5","5","Motivated","With friends","Evening"
"2024/12/23 4:16:28 PM GMT+3","Home","Comfort and convenience","2","2","4","3","Neutral","Alone","Evening"
"2024/12/23 4:16:54 PM GMT+3","Home","Comfort and convenience","4","4","3","5","Distracted","Alone","Evening"
"2024/12/23 4:17:06 PM GMT+3","Library","Availability of study resources (WiFi, computers)","4","3","3","4","Motivated","Alone","Morning"
"2024/12/23 4:17:13 PM GMT+3","Home","Comfort and convenience","5","5","5","5","Neutral","Alone","Evening"
"2024/12/23 4:17:56 PM GMT+3","Home","Minimal distractions","1","5","5","5","Neutral","Alone","Morning"
"2024/12/23 4:19:44 PM GMT+3","Home","Comfort and convenience","5","5","5","5","Distracted","Alone","Morning"
"2024/12/23 4:19:59 PM GMT+3","Home","Availability of study resources (WiFi, computers)","4","3","4","3","Distracted","Alone","Evening"
"2024/12/23 4:25:33 PM GMT+3","Home","Minimal distractions","3","3","3","3","Neutral","Alone","Evening"
"2024/12/23 4:26:30 PM GMT+3","Home","Minimal distractions","5","4","5","5","Neutral","Alone","Morning"
"2024/12/23 4:26:36 PM GMT+3","Home","Comfort and convenience","5","5","5","5","Neutral","Alone","Evening"
"2024/12/23 4:27:12 PM GMT+3","Home","Minimal distractions","5","5","5","5","Neutral","Alone","Morning"
"2024/12/23 4:27:42 PM GMT+3","Library","Comfort and convenience","3","5","3","2","Neutral","With friends","Evening"
"2024/12/23 4:28:02 PM GMT+3","Library","Availability of study resources (WiFi, computers)","1","3","5","3","Neutral","Alone","Morning"
"2024/12/23 4:29:50 PM GMT+3","Library","Minimal distractions","5","2","5","5","Motivated","Alone","Evening"
"2024/12/23 4:31:03 PM GMT+3","Home","Availability of study resources (WiFi, computers)","4","4","5","5","Neutral","With friends","Afternoon"
"2024/12/23 4:32:36 PM GMT+3","Home","Comfort and convenience","4","5","4","1","Motivated","With friends","Evening"
"2024/12/23 4:33:24 PM GMT+3","Cafe","Minimal distractions","4","4","4","3","Motivated","Alone","Afternoon"
"2024/12/23 4:34:38 PM GMT+3","Home","Availability of study resources (WiFi, computers)","3","5","5","5","Neutral","Alone","Morning"
"2024/12/23 4:42:01 PM GMT+3","Home","Comfort and convenience","2","5","5","4","Neutral","Alone","Afternoon"
"2024/12/23 4:46:58 PM GMT+3","Library","Availability of study resources (WiFi, computers)","2","3","2","4","Neutral","Alone","Evening"
"2024/12/23 4:49:05 PM GMT+3","Home","Minimal distractions","5","5","5","3","Motivated","With friends","Afternoon"
"2024/12/23 4:49:20 PM GMT+3","Home","Availability of study resources (WiFi, computers)","5","3","5","5","Neutral","Alone","Morning"
"2024/12/23 4:51:09 PM GMT+3","Cafe","Comfort and convenience","4","5","5","4","Motivated","Alone","Afternoon"
"2024/12/23 4:58:31 PM GMT+3","Home","Availability of study resources (WiFi, computers)","5","2","5","5","Motivated","Alone","Afternoon"
"2024/12/23 4:58:46 PM GMT+3","Home","Comfort and convenience","5","4","5","5","Motivated","Alone","Evening"
"2024/12/23 4:59:18 PM GMT+3","Home","Minimal distractions","4","4","5","4","Motivated","Alone","Evening"
"2024/12/23 4:59:24 PM GMT+3","Home","Comfort and convenience","4","1","5","5","Distracted","Alone","Evening"
"2024/12/23 5:00:49 PM GMT+3","Home","Availability of study resources (WiFi, computers)","3","4","2","2","Neutral","Alone","Evening"
"2024/12/23 5:01:00 PM GMT+3","Library","Comfort and convenience","5","3","3","5","Neutral","With friends","Afternoon"
"2024/12/23 5:04:36 PM GMT+3","Home","Availability of study resources (WiFi, computers)","5","3","4","5","Motivated","With friends","Morning"
"2024/12/23 5:05:16 PM GMT+3","Home","Comfort and convenience","5","4","5","4","Motivated","Alone","Morning"
"2024/12/23 5:11:44 PM GMT+3","Library","Availability of study resources (WiFi, computers)","5","4","5","4","Motivated","Alone","Evening"
"2024/12/23 5:18:15 PM GMT+3","Home","Comfort and convenience","5","5","4","5","Distracted","Alone","Evening"
"2024/12/23 5:20:14 PM GMT+3","Home","Availability of study resources (WiFi, computers)","5","5","5","4","Distracted","Alone","Evening"
"2024/12/23 5:24:56 PM GMT+3","Library","Availability of study resources (WiFi, computers)","5","5","5","3","Neutral","Alone","Afternoon"
"2024/12/23 5:25:26 PM GMT+3","Cafe","Comfort and convenience","1","2","5","5","Distracted","Alone","Evening"
"2024/12/23 5:31:24 PM GMT+3","Home","Comfort and convenience","4","3","3","3","Neutral","Alone","Afternoon"
"2024/12/23 5:36:27 PM GMT+3","Home","Comfort and convenience","5","3","5","4","Motivated","With friends","Afternoon"
"2024/12/23 5:37:17 PM GMT+3","Home","Availability of study resources (WiFi, computers)","5","3","5","4","Neutral","Alone","Evening"
"2024/12/23 5:38:17 PM GMT+3","Home","Comfort and convenience","2","2","3","5","Motivated","Alone","Morning"
"2024/12/23 5:40:10 PM GMT+3","Home","Availability of study resources (WiFi, computers)","4","3","5","5","Motivated","Alone","Evening"
"2024/12/23 5:40:48 PM GMT+3","Home","Availability of study resources (WiFi, computers)","5","3","3","3","Neutral","Alone","Morning"
"2024/12/23 5:43:07 PM GMT+3","Home","Availability of study resources (WiFi, computers)","3","2","5","4","Neutral","Alone","Evening"
"2024/12/23 5:44:48 PM GMT+3","Park","Availability of study resources (WiFi, computers)","3","4","5","4","Neutral","With friends","Morning"
"2024/12/23 5:46:33 PM GMT+3","Park","Availability of study resources (WiFi, computers)","3","2","4","3","Motivated","Alone","Evening"
"2024/12/23 5:46:34 PM GMT+3","Home","Availability of study resources (WiFi, computers)","2","5","5","4","Motivated","Alone","Evening"
"2024/12/23 5:46:36 PM GMT+3","Home","Comfort and convenience","3","5","5","5","Neutral","Alone","Afternoon"
"2024/12/23 5:47:37 PM GMT+3","Cafe","Comfort and convenience","5","5","5","5","Motivated","With friends","Evening"
"2024/12/23 5:49:37 PM GMT+3","Library","Presence of other students for collaboration","4","5","5","4","Motivated","Alone","Evening"
"2024/12/23 5:49:39 PM GMT+3","Library","Availability of study resources (WiFi, computers)","3","5","5","5","Motivated","With friends","Afternoon"
"2024/12/23 5:50:27 PM GMT+3","Cafe","Comfort and convenience","2","1","1","5","Neutral","With friends","Afternoon"
"2024/12/23 5:50:33 PM GMT+3","Home","Presence of other students for collaboration","3","5","5","4","Motivated","With friends","Evening"
"2024/12/23 5:54:23 PM GMT+3","Cafe","Availability of study resources (WiFi, computers)","5","5","5","5","Motivated","With friends","Evening"
"2024/12/23 5:58:10 PM GMT+3","Library","Presence of other students for collaboration","3","1","5","5","Distracted","Alone","Morning"
"2024/12/23 6:00:11 PM GMT+3","Library","Availability of study resources (WiFi, computers)","5","5","4","5","Motivated","With friends","Evening"
"2024/12/23 6:00:55 PM GMT+3","Cafe","Presence of other students for collaboration","5","3","4","5","Motivated","With friends","Evening"
"2024/12/23 6:01:45 PM GMT+3","Library","Availability of study resources (WiFi, computers)","3","3","5","4","Motivated","With friends","Afternoon"
"2024/12/23 6:02:15 PM GMT+3","Home","Comfort and convenience","3","3","3","3","Motivated","In group sessions","Evening"
"2024/12/23 6:04:17 PM GMT+3","Cafe","Comfort and convenience","4","5","1","4","Motivated","With friends","Evening"
"2024/12/23 6:05:59 PM GMT+3","Home","Comfort and convenience","4","4","5","4","Neutral","Alone","Morning"
"2024/12/23 6:09:28 PM GMT+3","Cafe","Comfort and convenience","4","3","5","5","Motivated","With friends","Evening"
"2024/12/23 6:12:47 PM GMT+3","Home","Comfort and convenience","1","4","5","3","Distracted","With friends","Afternoon"
"2024/12/23 6:12:56 PM GMT+3","Library","Presence of other students for collaboration","5","4","5","4","Neutral","Alone","Afternoon"
"2024/12/23 6:13:01 PM GMT+3","Home","Comfort and convenience","5","5","5","5","Neutral","Alone","Morning"
"2024/12/23 6:13:06 PM GMT+3","Home","Comfort and convenience","5","4","5","5","Neutral","Alone","Morning"
"2024/12/23 6:14:16 PM GMT+3","Home","Comfort and convenience","5","4","5","5","Distracted","Alone","Evening"
"2024/12/23 6:14:48 PM GMT+3","Home","Availability of study resources (WiFi, computers)","5","4","5","5","Neutral","Alone","Evening"
"2024/12/23 6:15:46 PM GMT+3","Cafe","Availability of study resources (WiFi, computers)","3","3","3","2","Neutral","With friends","Afternoon"
"2024/12/23 6:16:51 PM GMT+3","Library","Availability of study resources (WiFi, computers)","2","3","3","3","Distracted","With friends","Evening"
"2024/12/23 6:16:52 PM GMT+3","Home","Minimal distractions","2","4","3","5","Neutral","With friends","Afternoon"
"2024/12/23 6:17:01 PM GMT+3","Library","Minimal distractions","1","1","1","2","Neutral","With friends","Afternoon"
"2024/12/23 6:19:43 PM GMT+3","Library","Availability of study resources (WiFi, computers)","5","5","5","4","Distracted","Alone","Afternoon"
"2024/12/23 6:20:27 PM GMT+3","Home","Comfort and convenience","5","5","5","3","Motivated","Alone","Evening"
"2024/12/23 6:21:28 PM GMT+3","Home","Availability of study resources (WiFi, computers)","3","5","3","5","Distracted","Alone","Evening"
"2024/12/23 6:28:27 PM GMT+3","Home","Comfort and convenience","1","3","5","4","Motivated","Alone","Evening"
"2024/12/23 6:33:42 PM GMT+3","Home","Comfort and convenience","5","2","5","5","Distracted","Alone","Evening"
"2024/12/23 6:37:59 PM GMT+3","Home","Minimal distractions","5","5","5","5","Neutral","Alone","Morning"
"2024/12/23 6:40:44 PM GMT+3","Home","Comfort and convenience","5","4","5","5","Motivated","Alone","Evening"
"2024/12/23 6:42:05 PM GMT+3","Library","Availability of study resources (WiFi, computers)","3","3","3","2","Neutral","With friends","Morning"
"2024/12/23 6:42:43 PM GMT+3","Library","Minimal distractions","5","5","5","5","Motivated","Alone","Afternoon"
"2024/12/23 6:45:05 PM GMT+3","Home","Minimal distractions","1","3","4","1","Neutral","With friends","Morning"
"2024/12/23 6:46:11 PM GMT+3","Home","Comfort and convenience","5","3","5","5","Neutral","Alone","Morning"
"2024/12/23 6:50:18 PM GMT+3","Home","Comfort and convenience","5","4","5","5","Neutral","Alone","Morning"
"2024/12/23 6:54:18 PM GMT+3","Home","Availability of study resources (WiFi, computers)","4","3","4","4","Distracted","Alone","Evening"
"2024/12/23 6:57:26 PM GMT+3","Cafe","Presence of other students for collaboration","3","5","5","5","Motivated","Alone","Evening"
"2024/12/23 6:59:30 PM GMT+3","Library","Minimal distractions","4","4","3","5","Neutral","Alone","Morning"
"2024/12/23 7:00:06 PM GMT+3","Home","Availability of study resources (WiFi, computers)","4","5","5","5","Distracted","With friends","Morning"
"2024/12/23 7:00:30 PM GMT+3","Library","Minimal distractions","2","4","5","4","Motivated","Alone","Afternoon"
"2024/12/23 7:05:28 PM GMT+3","Home","Comfort and convenience","5","2","4","2","Distracted","Alone","Afternoon"
"2024/12/23 7:06:14 PM GMT+3","Home","Minimal distractions","3","5","4","3","Neutral","Alone","Evening"
"2024/12/23 7:11:31 PM GMT+3","Cafe","Comfort and convenience","4","3","3","4","Motivated","In group sessions","Afternoon"
"2024/12/23 7:15:10 PM GMT+3","Cafe","Comfort and convenience","3","4","5","5","Motivated","With friends","Afternoon"
"2024/12/23 7:19:25 PM GMT+3","Home","Minimal distractions","5","4","5","3","Neutral","Alone","Evening"
"2024/12/23 7:20:27 PM GMT+3","Home","Minimal distractions","5","2","5","3","Distracted","Alone","Evening"
"2024/12/23 7:21:09 PM GMT+3","Library","Comfort and convenience","5","3","4","4","Motivated","With friends","Evening"
"2024/12/23 7:23:34 PM GMT+3","Home","Availability of study resources (WiFi, computers)","3","5","5","5","Motivated","Alone","Morning"
"2024/12/23 7:27:33 PM GMT+3","Library","Availability of study resources (WiFi, computers)","4","5","5","5","Motivated","In group sessions","Morning"
"2024/12/23 7:28:01 PM GMT+3","Library","Minimal distractions","5","5","5","5","Motivated","In group sessions","Evening"
"2024/12/23 7:29:31 PM GMT+3","Library","Minimal distractions","3","5","5","4","Motivated","In group sessions","Morning"
"2024/12/23 7:36:03 PM GMT+3","Home","Comfort and convenience","5","3","3","5","Neutral","Alone","Afternoon"
"2024/12/23 7:36:44 PM GMT+3","Home","Availability of study resources (WiFi, computers)","3","5","5","5","Neutral","Alone","Afternoon"
"2024/12/23 7:38:39 PM GMT+3","Home","Comfort and convenience","5","4","5","2","Neutral","Alone","Morning"
"2024/12/23 7:50:47 PM GMT+3","Library","Minimal distractions","5","4","3","4","Neutral","With friends","Afternoon"
"2024/12/23 7:55:44 PM GMT+3","Home","Comfort and convenience","4","5","5","3","Motivated","Alone","Evening"
"2024/12/23 7:59:17 PM GMT+3","Library","Minimal distractions","2","2","1","1","Neutral","Alone","Evening"
"2024/12/23 8:05:35 PM GMT+3","Library","Availability of study resources (WiFi, computers)","5","1","5","3","Neutral","Alone","Evening"
"2024/12/23 8:09:53 PM GMT+3","Cafe","Availability of study resources (WiFi, computers)","2","5","4","4","Neutral","With friends","Morning"
"2024/12/23 8:15:06 PM GMT+3","Home","Comfort and convenience","4","4","5","3","Neutral","Alone","Morning"
"2024/12/23 8:19:30 PM GMT+3","Home","Availability of study resources (WiFi, computers)","4","4","4","4","Neutral","Alone","Afternoon"
"2024/12/23 8:21:24 PM GMT+3","Library","Minimal distractions","4","2","5","4","Motivated","Alone","Evening"
"2024/12/23 8:29:35 PM GMT+3","Home","Comfort and convenience","5","3","5","5","Motivated","Alone","Evening"
"2024/12/23 8:42:24 PM GMT+3","Home","Comfort and convenience","5","3","4","3","Distracted","Alone","Afternoon"
"2024/12/23 9:17:32 PM GMT+3","Library","Comfort and convenience","5","3","5","4","Distracted","Alone","Afternoon"
"2024/12/23 9:35:18 PM GMT+3","Home","Minimal distractions","5","5","5","1","Neutral","With friends","Evening"
"2024/12/23 10:04:45 PM GMT+3","Home","Availability of study resources (WiFi, computers)","4","5","5","4","Neutral","Alone","Evening"
"2024/12/23 10:09:01 PM GMT+3","Library","Availability of study resources (WiFi, computers)","5","2","5","3","Motivated","Alone","Morning"
"2024/12/23 10:16:29 PM GMT+3","Home","Availability of study resources (WiFi, computers)","5","4","5","5","Neutral","Alone","Evening"
"2024/12/23 11:23:23 PM GMT+3","Cafe","Presence of other students for collaboration","5","4","3","5","Neutral","With friends","Evening"
"2024/12/24 1:41:59 AM GMT+3","Library","Comfort and convenience","4","3","4","5","Neutral","With friends","Afternoon"
"2024/12/24 5:57:08 AM GMT+3","Home","Comfort and convenience","5","5","5","3","Motivated","Alone","Evening"
"2024/12/24 6:38:05 AM GMT+3","Home","Comfort and convenience","4","2","5","5","Motivated","Alone","Morning"
"2024/12/24 8:15:51 AM GMT+3","Home","Comfort and convenience","3","4","3","4","Distracted","Alone","Evening"
"2024/12/24 9:48:12 AM GMT+3","Home","Minimal distractions","4","3","5","5","Neutral","Alone","Afternoon"
"2024/12/24 10:21:06 AM GMT+3","Library","Availability of study resources (WiFi, computers)","4","4","4","4","Motivated","With friends","Evening"
"2024/12/24 11:18:35 AM GMT+3","Library","Availability of study resources (WiFi, computers)","5","5","4","5","Distracted","With friends","Evening"
"2024/12/24 12:21:43 PM GMT+3","Home","Comfort and convenience","1","1","2","2","Neutral","Alone","Evening"
"2024/12/24 12:58:08 PM GMT+3","Cafe","Comfort and convenience","3","3","5","3","Neutral","Alone","Evening"
"2024/12/24 1:11:08 PM GMT+3","Home","Availability of study resources (WiFi, computers)","5","4","4","4","Neutral","Alone","Afternoon"
"2024/12/24 1:48:08 PM GMT+3","Home","Availability of study resources (WiFi, computers)","3","3","4","3","Distracted","Alone","Afternoon"
"2024/12/24 2:18:22 PM GMT+3","Home","Comfort and convenience","5","2","3","3","Distracted","Alone","Morning"
"2024/12/24 3:00:34 PM GMT+3","Library","Minimal distractions","5","4","5","5","Neutral","Alone","Morning"
"2024/12/24 3:27:06 PM GMT+3","Home","Availability of study resources (WiFi, computers)","4","2","4","4","Distracted","Alone","Evening"
"2024/12/24 4:10:08 PM GMT+3","Home","Availability of study resources (WiFi, computers)","5","4","5","4","Distracted","Alone","Evening"
"2024/12/24 4:11:09 PM GMT+3","Home","Comfort and convenience","1","3","3","3","Motivated","Alone","Evening"
"2024/12/24 6:16:56 PM GMT+3","Home","Comfort and convenience","2","4","4","3","Distracted","Alone","Afternoon"
"2024/12/24 7:43:33 PM GMT+3","Home","Availability of study resources (WiFi, computers)","5","4","5","5","Motivated","Alone","Afternoon"
"2024/12/24 8:37:50 PM GMT+3","Library","Presence of other students for collaboration","3","5","5","5","Motivated","In group sessions","Morning"
"2024/12/24 11:57:55 PM GMT+3","Library","Availability of study resources (WiFi, computers)","4","3","5","5","Motivated","Alone","Afternoon"